2025/05/16 11:05:52 main.go:23: File.sh server starting up...
2025/05/16 11:05:52 main.go:43: Connecting to storage backend (localhost:9000)...
2025/05/16 11:05:52 main.go:48: Successfully connected to storage backend, bucket: filesh
2025/05/16 11:05:52 main.go:99: Starting server on :8080
2025/05/16 11:05:52 main.go:100: Frontend CORS origin: http://localhost:5173
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/69 404 947µs
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/71 404 947µs
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/72 404 1.5079ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/73 404 943.2µs
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/78 404 1.0001ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/77 404 1.4991ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/76 404 1.4991ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/74 404 1.4991ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/75 404 1.4991ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/79 404 1.5041ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/83 404 1.6042ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/80 404 1.6042ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/81 404 1.6042ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/85 404 1.0595ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/82 404 2.1118ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/84 404 1.0595ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/86 404 1.0004ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/90 404 1.1251ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/89 404 1.1251ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/87 404 1.1251ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/88 404 1.1251ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/91 404 506.9µs
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/92 404 1.018ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/93 404 1.5109ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/94 404 1.5109ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/95 404 1.0334ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/96 404 1.0334ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/97 404 1.0334ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/98 404 1.0023ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/100 404 1.0057ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/99 404 1.0057ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/101 404 1.0003ms
2025/05/16 11:06:22 main.go:147: [API] HEAD /api/download/2038030f-1082-4615-8a01-14d2ae7c527e/103 404 1.0003ms
